|6.6.6
gabbro_sat_11112020_2.tab                                                                           
           2
T(K)    
   300.00000000000000     
   13.131313131313131     
         100
P(bar)  
   1000.0000000000000     
   898.98989898989896     
         100
           3
T(K)           P(bar)         rho,kg/m3     
  470.7071       3696.970       2959.599    
  483.8384       3696.970       2958.096    
  496.9697       3696.970       2957.071    
  510.1010       3696.970       2875.346    
  523.2323       3696.970       2877.353    
  536.3636       3696.970       2876.237    
  549.4949       3696.970       2878.081    
  562.6263       3696.970       2925.638    
  575.7576       3696.970       2916.957    
  588.8889       3696.970       2953.367    
  602.0202       3696.970       2953.772    
  615.1515       3696.970       2952.130    
  628.2828       3696.970       2951.774    
  641.4141       3696.970       2950.085    
  654.5455       3696.970       2949.194    
  667.6768       3696.970       2948.034    
  680.8081       3696.970       2947.236    
  693.9394       3696.970       2949.402    
  707.0707       3696.970       2950.969    
  720.2020       3696.970       2949.848    
  733.3333       3696.970       2939.997    
  746.4646       3696.970       2936.077    
  759.5960       3696.970       2876.074    
  772.7273       3696.970       2872.481    
  785.8586       3696.970       2873.804    
  798.9899       3696.970       2874.120    
  812.1212       3696.970       2872.345    
  825.2525       3696.970       2871.278    
  838.3838       3696.970       2874.024    
  851.5152       3696.970       2877.822    
  864.6465       3696.970       2877.210    
  877.7778       3696.970       2878.569    
  890.9091       3696.970       2879.763    
  904.0404       3696.970       2879.089    
  917.1717       3696.970       2879.144    
  930.3030       3696.970       2878.253    
  943.4343       3696.970       2895.842    
  956.5657       3696.970       2917.080    
  969.6970       3696.970       2921.118    
  982.8283       3696.970       2940.109    
  995.9596       3696.970       2942.051    
  1009.091       3696.970       2943.738    
  1022.222       3696.970       2942.470    
  1035.354       3696.970       2943.652    
  1048.485       3696.970       2940.277    
  1061.616       3696.970       2939.741    
  1074.747       3696.970       2938.410    
  1087.879       3696.970       2937.185    
  1101.010       3696.970       2936.653    
  1114.141       3696.970       2934.956    
  1127.273       3696.970       2934.553    
  1140.404       3696.970       2933.002    
  1153.535       3696.970       2931.918    
  1166.667       3696.970       2931.809    
  1179.798       3696.970       2929.713    
  1192.929       3696.970       2928.711    
  1206.061       3696.970       2927.918    
  1219.192       3696.970       2927.004    
  1232.323       3696.970       2924.907    
  1245.455       3696.970       2924.005    
  1258.586       3696.970       2921.159    
  1271.717       3696.970       2922.164    
  1284.848       3696.970       2921.013    
  1297.980       3696.970       2920.246    
  1311.111       3696.970       2919.738    
  1324.242       3696.970       2918.441    
  1337.374       3696.970       2917.820    
  1350.505       3696.970       2916.046    
  1363.636       3696.970       2914.687    
  1376.768       3696.970       2914.193    
  1389.899       3696.970       2912.512    
  1403.030       3696.970       2910.297    
  1416.162       3696.970       2911.009    
  1429.293       3696.970       2909.288    
  1442.424       3696.970       2910.113    
  1455.556       3696.970       2906.468    
  1468.687       3696.970       2905.563    
  1481.818       3696.970       2906.592    
  1494.949       3696.970       2903.341    
  1508.081       3696.970       2902.875    
  1521.212       3696.970       2902.668    
  1534.343       3696.970       2899.212    
  1547.475       3696.970       2900.928    
