|6.6.6
basalt_sat_yak_hp11ver_10302020_2.tab                                                               
           2
T(K)    
   300.00000000000000     
   13.131313131313131     
         100
P(bar)  
   1000.0000000000000     
   898.98989898989896     
         100
           3
T(K)           P(bar)         rho,kg/m3     
  1166.667       50444.44       3543.420    
  1179.798       50444.44       3540.401    
  1192.929       50444.44       3539.184    
  1206.061       50444.44       3537.199    
  1219.192       50444.44       3534.728    
  1232.323       50444.44       3533.974    
  1245.455       50444.44       3530.784    
  1258.586       50444.44       3529.657    
  1271.717       50444.44       3527.562    
  1284.848       50444.44       3524.963    
  1297.980       50444.44       3522.960    
  1311.111       50444.44       3521.023    
  1324.242       50444.44       3519.880    
  1337.374       50444.44       3517.749    
  1350.505       50444.44       3515.511    
  1363.636       50444.44       3513.372    
  1376.768       50444.44       3511.571    
  1389.899       50444.44       3508.511    
  1403.030       50444.44       3508.025    
  1416.162       50444.44       3505.931    
  1429.293       50444.44       3504.441    
  1442.424       50444.44       3502.759    
  1455.556       50444.44       3501.059    
  1468.687       50444.44       3499.092    
  1481.818       50444.44       3497.986    
  1494.949       50444.44       3496.208    
  1508.081       50444.44       3494.602    
  1521.212       50444.44       3492.649    
  1534.343       50444.44       3491.309    
  1547.475       50444.44       3489.462    
  1560.606       50444.44       3489.422    
  1573.737       50444.44       3489.489    
  1586.869       50444.44       3487.662    
  1600.000       50444.44       3486.153    
  300.0000       51343.43       3304.095    
  313.1313       51343.43       3304.738    
  326.2626       51343.43       3317.082    
  339.3939       51343.43       3385.571    
  352.5253       51343.43       3385.781    
  365.6566       51343.43       3387.542    
  378.7879       51343.43       3386.787    
  391.9192       51343.43       3386.389    
  405.0505       51343.43       3385.035    
  418.1818       51343.43       3385.159    
  431.3131       51343.43       3383.465    
  444.4444       51343.43       3382.483    
  457.5758       51343.43       3381.336    
  470.7071       51343.43       3380.240    
  483.8384       51343.43       3379.236    
  496.9697       51343.43       3378.088    
  510.1010       51343.43       3378.234    
  523.2323       51343.43       3376.826    
  536.3636       51343.43       3377.196    
  549.4949       51343.43       3376.603    
  562.6263       51343.43       3380.814    
  575.7576       51343.43       3381.542    
  588.8889       51343.43       3385.892    
  602.0202       51343.43       3388.468    
  615.1515       51343.43       3414.952    
  628.2828       51343.43       3422.441    
  641.4141       51343.43       3429.390    
  654.5455       51343.43       3426.549    
  667.6768       51343.43       3430.465    
  680.8081       51343.43       3444.912    
  693.9394       51343.43       3453.986    
  707.0707       51343.43       3458.790    
  720.2020       51343.43       3468.979    
  733.3333       51343.43       3463.740    
  746.4646       51343.43       3469.912    
  759.5960       51343.43       3485.668    
  772.7273       51343.43       3491.904    
  785.8586       51343.43       3490.720    
  798.9899       51343.43       3489.581    
  812.1212       51343.43       3488.302    
  825.2525       51343.43       3486.782    
  838.3838       51343.43       3485.632    
  851.5152       51343.43       3484.328    
  864.6465       51343.43       3483.069    
  877.7778       51343.43       3486.136    
  890.9091       51343.43       3514.048    
  904.0404       51343.43       3515.262    
  917.1717       51343.43       3513.757    
  930.3030       51343.43       3516.316    
  943.4343       51343.43       3514.562    
  956.5657       51343.43       3515.645    
  969.6970       51343.43       3512.797    
  982.8283       51343.43       3517.074    
  995.9596       51343.43       3519.905    
  1009.091       51343.43       3519.222    
  1022.222       51343.43       3521.994    
  1035.354       51343.43       3550.225    
  1048.485       51343.43       3561.735    
  1061.616       51343.43       3559.982    
  1074.747       51343.43       3558.165    
  1087.879       51343.43       3556.536    
  1101.010       51343.43       3553.386    
  1114.141       51343.43       3551.915    
  1127.273       51343.43       3550.238    
  1140.404       51343.43       3549.185    
