|6.6.6
basalt_sat_yak_hp11ver_10302020_3.tab                                                               
           2
T(K)    
   300.00000000000000     
   13.131313131313131     
         100
P(bar)  
   1000.0000000000000     
   898.98989898989896     
         100
           3
T(K)           P(bar)         H2O,wt%       
  1206.061       3696.970       0.000000    
  1219.192       3696.970       0.000000    
  1232.323       3696.970       0.000000    
  1245.455       3696.970       0.000000    
  1258.586       3696.970       0.000000    
  1271.717       3696.970       0.000000    
  1284.848       3696.970       0.000000    
  1297.980       3696.970       0.000000    
  1311.111       3696.970       0.000000    
  1324.242       3696.970       0.000000    
  1337.374       3696.970       0.000000    
  1350.505       3696.970       0.000000    
  1363.636       3696.970       0.000000    
  1376.768       3696.970       0.000000    
  1389.899       3696.970       0.000000    
  1403.030       3696.970       0.000000    
  1416.162       3696.970       0.000000    
  1429.293       3696.970       0.000000    
  1442.424       3696.970       0.000000    
  1455.556       3696.970       0.000000    
  1468.687       3696.970       0.000000    
  1481.818       3696.970       0.000000    
  1494.949       3696.970       0.000000    
  1508.081       3696.970       0.000000    
  1521.212       3696.970       0.000000    
  1534.343       3696.970       0.000000    
  1547.475       3696.970       0.000000    
  1560.606       3696.970       0.000000    
  1573.737       3696.970       0.000000    
  1586.869       3696.970       0.000000    
  1600.000       3696.970       0.000000    
  300.0000       4595.960       6.572050    
  313.1313       4595.960       6.193768    
  326.2626       4595.960       6.105937    
  339.3939       4595.960       6.060520    
  352.5253       4595.960       6.015504    
  365.6566       4595.960       5.820247    
  378.7879       4595.960       5.736140    
  391.9192       4595.960       5.736269    
  405.0505       4595.960       5.733837    
  418.1818       4595.960       5.738809    
  431.3131       4595.960       5.739996    
  444.4444       4595.960       5.738355    
  457.5758       4595.960       5.663782    
  470.7071       4595.960       5.567049    
  483.8384       4595.960       5.317608    
  496.9697       4595.960       3.955804    
  510.1010       4595.960       3.781783    
  523.2323       4595.960       3.750584    
  536.3636       4595.960       3.752111    
  549.4949       4595.960       3.746972    
  562.6263       4595.960       3.749248    
  575.7576       4595.960       3.746484    
  588.8889       4595.960       3.744087    
  602.0202       4595.960       3.740466    
  615.1515       4595.960       3.737372    
  628.2828       4595.960       3.733166    
  641.4141       4595.960       3.729032    
  654.5455       4595.960       3.729776    
  667.6768       4595.960       3.715008    
  680.8081       4595.960       3.708509    
  693.9394       4595.960       3.696406    
  707.0707       4595.960       3.686585    
  720.2020       4595.960       3.684606    
  733.3333       4595.960       3.660821    
  746.4646       4595.960       3.598032    
  759.5960       4595.960       3.525904    
  772.7273       4595.960       3.362131    
  785.8586       4595.960       3.264958    
  798.9899       4595.960       3.162710    
  812.1212       4595.960       2.960569    
  825.2525       4595.960       2.585793    
  838.3838       4595.960       2.570323    
  851.5152       4595.960       2.554285    
  864.6465       4595.960       2.330722    
  877.7778       4595.960       2.222045    
