|6.6.6
basalt_sat_allmorb_10302020_3.tab                                                                   
           2
T(K)    
   400.00000000000000     
   11.111111111111111     
         100
P(bar)  
   2000.0000000000000     
   787.87878787878788     
         100
           3
T(K)           P(bar)         H2O,wt%       
  500.0000       5151.515       5.094309    
  511.1111       5151.515       5.085898    
  522.2222       5151.515       5.076790    
  533.3333       5151.515       4.982689    
  544.4444       5151.515       4.872777    
  555.5556       5151.515       4.027334    
  566.6667       5151.515       3.636906    
  577.7778       5151.515       3.404691    
  588.8889       5151.515       3.453340    
  600.0000       5151.515       3.393416    
  611.1111       5151.515       3.394341    
  622.2222       5151.515       3.387722    
  633.3333       5151.515       3.384781    
  644.4444       5151.515       3.380808    
  655.5556       5151.515       3.371817    
  666.6667       5151.515       3.366925    
  677.7778       5151.515       3.364389    
  688.8889       5151.515       3.290427    
  700.0000       5151.515       3.201105    
  711.1111       5151.515       3.076258    
  722.2222       5151.515       3.059169    
  733.3333       5151.515       2.974105    
  744.4444       5151.515       2.889860    
  755.5556       5151.515       2.833065    
  766.6667       5151.515       2.780067    
  777.7778       5151.515       2.720900    
  788.8889       5151.515       2.657948    
  800.0000       5151.515       2.566061    
  811.1111       5151.515       2.463181    
  822.2222       5151.515       2.408195    
  833.3333       5151.515       1.924551    
  844.4444       5151.515       1.924551    
  855.5556       5151.515       1.817325    
  866.6667       5151.515       1.760880    
  877.7778       5151.515       1.337907    
  888.8889       5151.515       1.327639    
  900.0000       5151.515       1.256916    
  911.1111       5151.515       1.220754    
  922.2222       5151.515       1.148783    
  933.3333       5151.515      0.4807134    
  944.4444       5151.515      0.3565303    
  955.5556       5151.515      0.2726857    
  966.6667       5151.515      0.1535980    
  977.7778       5151.515      0.2702931E-01
  988.8889       5151.515       0.000000    
  1000.000       5151.515       0.000000    
  1011.111       5151.515       0.000000    
  1022.222       5151.515       0.000000    
  1033.333       5151.515       0.000000    
  1044.444       5151.515       0.000000    
  1055.556       5151.515       0.000000    
  1066.667       5151.515       0.000000    
  1077.778       5151.515       0.000000    
  1088.889       5151.515       0.000000    
  1100.000       5151.515       0.000000    
  1111.111       5151.515       0.000000    
  1122.222       5151.515       0.000000    
  1133.333       5151.515       0.000000    
  1144.444       5151.515       0.000000    
  1155.556       5151.515       0.000000    
  1166.667       5151.515       0.000000    
  1177.778       5151.515       0.000000    
  1188.889       5151.515       0.000000    
  1200.000       5151.515       0.000000    
  1211.111       5151.515       0.000000    
  1222.222       5151.515       0.000000    
  1233.333       5151.515       0.000000    
  1244.444       5151.515       0.000000    
  1255.556       5151.515       0.000000    
  1266.667       5151.515       0.000000    
  1277.778       5151.515       0.000000    
  1288.889       5151.515       0.000000    
  1300.000       5151.515       0.000000    
  1311.111       5151.515       0.000000    
  1322.222       5151.515       0.000000    
  1333.333       5151.515       0.000000    
  1344.444       5151.515       0.000000    
  1355.556       5151.515       0.000000    
  1366.667       5151.515       0.000000    
  1377.778       5151.515       0.000000    
  1388.889       5151.515       0.000000    
  1400.000       5151.515       0.000000    
  1411.111       5151.515       0.000000    
  1422.222       5151.515       0.000000    
  1433.333       5151.515       0.000000    
  1444.444       5151.515       0.000000    
